Recall Number,Product Safety Warning Number,Date,Product Safety Warning Date,Recall Heading,Name of product,Description,Hazard Description,Consumer Action,Original Product Safety Warning Announcement,Remedy Type,Units,Incidents,Remedy,Sold At Label,Sold At,Importers,Manufacturers,Distributors,Manufactured In,Custom Label,Custom Field
26-727,,27-Aug-26,,Montessori Baby Toy Sets Recalled Due to Risk of Serious Injury or Death from Choking; Violate Mandatory Standard for Toys; Sold on Amazon by Chillife Official,Chillife 5-in-1 Montessori Baby Toy Sets,"This recall involves the Chillife 5-in-1 Montessori Baby Toy Sets. The set comes with a pull string teether toy, circular stacking blocks, a sensory toy, a shape sorting cube with blocks and a suction cup spinner. The violative pull string teething toy has an off-white disc shape with a blue ball in the middle and six long, silicone pull strings of various colors running through the ball. There are also three free-spinning rings and soft push buttons on the disc. “Model: CHILLIFE01” is printed on the side of the product packaging.&nbsp;","The recalled baby toy sets contain a pull string teething toy that violates the mandatory standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Toy-Saf… lang=""EN-US"">toys because the silicone strings are smaller and longer than permitted. The silicone strings can reach the back of children’s throat and become lodged, posing a risk of respiratory distress and deadly choking hazard.&nbsp;",,,Refund,"About 20,134",CPSC is aware of four choking incidents.  No medical attention was required.  ,"Consumers should stop using the pull string teether toys immediately, take them away from children and contact Chillife Official for a partial refund of $5.40. Consumers will be asked to destroy the toy by cutting all silicone strings and writing in permanent marker “DESTROYED” on the main body of the toy and send a photo of the destroyed toy to Chillifebabytoyrecall@outlook.com. Consumers should then dispose of the destroyed product.&nbsp;",Sold Online At,Amazon.com from July 2023 through April 2026 for about $27.&nbsp;,"Shenzhenshixingchuangyiyimaoyouxiangongsi (Shenzhen Xingchuangyi Trading Co., Ltd.) dba Chillife Official, China.",,,China,,
26-726,,27-Aug-26,,Walmart Reannounces Recall of Mainstays Nine-Drawer Fabric Dressers Due to Risk of Serious Injury or Death from Tip-Over and Entrapment Hazards; Walmart Distributed Recalled Dressers Post-Recall; Sold to Consumers Through Liquidators,Mainstays 9-Drawer Fabric Dressers,"This recall involves Mainstays-branded dressers. The fabric dressers have a black metal frame and nine brown or black fabric drawers with handles. The dressers measure about 40 inches long, 13.75 inches wide and 45 inches tall and weigh 32 pounds and were manufactured from September 2023 through December 2025. The Tracking/Lot and the manufacture date in MM/YYYY format are printed on a label under the dresser’s top panel of the dresser. “Mainstays 9-Drawer Fabric Dresser” is printed on the product order receipt and packaging.","The recalled dressers are unstable if they are not anchored to the wall, posing tip-over and entrapment hazards that can result in risk of serious injuries or death to children. The dressers violate the mandatory safety standard as required by the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">STURDY Act.",,,Refund,"About 165,250 (About 165,000 of these dressers were previously recalled in May 2026)",None reported,"Consumers should stop using the recalled dressers if they are not anchored to the wall immediately, place them in an area that children cannot access and contact Walmart for a full refund. Consumers will be asked to return the dressers’ drawers to any Walmart store and dispose of the dressers’ frame according to local and state regulations.",Sold At,"Walmart stores nationwide and online at Walmart.com from September 2023 through March 2026 for about $80. Recalled dressers were sold to consumers post-recall through the following liquidators: OMG California Community, of Riverside, California; Threads of Fenton of Fenton, Michigan, Golden Cone Electronic, Inc., of Elkhart, Indiana; and ReturnPro, of Miami, Florida. This reannouncement is intended to alert consumers who purchased the dressers from the above liquidators that the dressers have been recalled because they pose tip-over and entrapment hazards.",,"Hop Thang Interior Wood Co. Ltd., of Vietnam",,Vietnam,Retailer:,"Walmart Inc., of Bentonville, Arkansas"
26-725,,27-Aug-26,,Pressure Washers Recalled Due to Serious Risk of Injury or Death from Shock and Electrocution Hazards; Sold on Amazon by YERYORK,YERYORK Pressure Washers,"This recall involves YERYORK-branded pressure washers. The recalled, 2.5 GPM electric pressure washers are green with black, and measure about 10.24 inches deep, 16.14 inches wide and 12.01 inches high. The pressure washers come with a 500 ml foam cannon, four quick disconnect nozzles, a 32.81-foot hose and four lockable wheels. Only power washers without a GFCI are included in this recall. The brand is printed at the front of the power washer and model number YE-006 on a label on top of the unit near the handle.","The recalled pressure washers lack an integral ground-fault circuit-interrupter (GFCI) and an adequate-length power cord, posing serious risks of injury or death from shock and electrocution hazards.",,,Refund,300,None reported,"Consumers should stop using the recalled pressure washers immediately and contact YERYORK for a full refund. Consumers will be asked to unplug the pressure washer, destroy it by cutting the power cord in half, and send a photo of the destroyed power washer, showing the model number, to yeryorkrecalls@outlook.com. Consumers should then dispose of the destroyed recalled product.",Sold Online At,Amazon.com from March 2025 through June 2026 for about $120.,,"Lanzhou Xinshi Mingchen Information Technology Co., Ltd., dba YERYORK, of China",,China,,
26-724,,27-Aug-26,,Little Loves & Co. Recalls Youth Clothing with Drawstrings Due to Risk of Serious Injury or Death from Entrapment Hazard,Little Loves & Co. Youth Clothing with Drawstrings,This recall involves youth daywear sets and boy short sets with waist drawstrings. The daywear sets were sold with a crew neck shirt and joggers. The boy short sets were sold with a short sleeve shirt and shorts. The products were sold in sizes 12/18 months through youth 9/10 and were sold in a variety of colors and collage style designs. The model number and date code are printed on the neck tag. The following model numbers and date codes are included in the recall:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Style &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Model Number&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Date Code &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Daywear Set&nbsp;LLC110&nbsp;12/30/25&nbsp;Boy Shorts Set&nbsp;LLC012&nbsp;3/15/25&nbsp;Boy Shorts Set&nbsp;LLC013&nbsp;4/15/25&nbsp;Boy Shorts Set&nbsp;LLC111&nbsp;3/20/26&nbsp;Boy Shorts set&nbsp;LLC112&nbsp;4/20/26&nbsp;,The drawstrings in the recalled clothing can get caught on objects and cause death or serious injury to children due to an entrapment hazard.,,,"Refund, Repair",About 590,None reported,"Consumers should take the recalled clothing away from children immediately and contact Little Loves &amp; Co. for a full refund after return of the product. Consumers should contact Little Loves &amp; Co. to receive a pre-paid shipping label to return the garment. Upon receipt, affected consumers will be issued a refund. If consumers would prefer to keep the garment, they should cut and remove the drawstring.",Sold Online At,Littlelovesandco.com and Whatnot.com from May 2025 through July 2026 for between $15 and $30.,"Little Loves & Co. LLC, of Olympia, Washington",,,China,,
26-723,,27-Aug-26,,Steelite Pressure Washers Recalled Due to Risk of Serious Injury or Death from Shock and Electrocution Hazards; Sold on Amazon by Longer 3D,Steelite Electric Pressure Washers,"This recall involves Steelite-branded pressure washers. They are red and black and measure about 30 inches high, 10 inches wide and 12 inches deep. The 2.5 gpm, electric pressure washers have a foam cannon, four quick connect nozzles and a 20-foot hose. Model “AZ6041VC” is printed on a label on the back of the pressure washer.","The recalled pressure washers lack an integral ground-fault circuit-interrupter (GFCI) and an adequate-length power cord, posing a risk of serious injury or death from shock and electrocution hazards.",,,Refund,About 128,None reported,Consumers should stop using the recalled pressure washers immediately and contact Longer 3D for a full refund. Consumers will be asked to destroy the power washer by cutting the unplugged power cord in half and send a photo of the destroyed pressure washer to 2991426091@qq.com. Consumers should then dispose of the destroyed recalled product.,Sold Online At,Amazon.com from April 2026 through June 2026 for between $45 and $92.,"Longer Technology (Hong Kong) Limited, dba Longer 3D, of China",,,China,,
26-722,,27-Aug-26,,Excel Industries Recalls Accessory LED Light Kits Due to Risk of Serious Injury from Fire Hazard,Accessory LED Light Kits used with certain ride-on mowers,This recall involves an accessory LED Light Kit containing two LED Light Bars and kit components.&nbsp;These accessory products are used on Hustler or BigDog ride-on mowers as an accessory light at the front of the mower. A black or yellow steel mounting bracket attaches to the mower footrest at the front of the mower and holds two LED Light Bars as headlights. The LED Light Bars are clear plastic with a white and a black wire and an orange plug at the end. They measure 6 inches wide and ¾ of an inch tall.&nbsp;,"The light bars can overheat or produce flames, posing a risk of serious injury from a fire hazard.",,,Refund,"About 1,800",None reported,Consumers should stop using the accessory LED Light Kits immediately and contact their point-of-sale dealers to receive a refund upon return of the light kit. Light kits installed on mowers can be removed either at the local dealer or at the consumer’s residence.,Sold At,Hustler and BigDog dealerships nationwide or online at www.hustlerturf.com/law-mower-accessories or www.bigdogmower.com/accessories from April 2020 through July 2026 for between $180 and $330.,,"Excel Industries LLC, of Hesston, Kansas",,United States,,
26-721,,27-Aug-26,,Kmaier Recalls Infant Walkers Due to Risk of Serious Injury or Death from Fall Hazard; Violate Mandatory Standard for Infant Walkers,Kmaier Infant Walkers,"This recall involves Kmaier-branded infant walkers. The pink, green or white walkers have a tray, a fabric seat and a round base with six-wheels. The walkers can be adjusted to nine different height levels. “Model No.: RV001” is printed on a label located under the walker’s seat.&nbsp;","The recalled walkers violate the mandatory standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">infant walkers because they can fit through a standard doorway and fail to stop at the edge of a step, posing a deadly fall hazard.",,,Refund,About 243,None reported,Consumers should stop using the recalled walkers immediately and contact Kmaier for a full refund. Consumers will be asked to disassemble the walker; destroy it by cutting the walker’s fabric seat and writing in permanent marker “Recalled” on the top of the tray; and send a photo of the destroyed walker to TargetplusSJ@outlook.com. Consumers should then dispose of the recalled product.,Sold Online At,Target.com in June 2026 for between $62 and $70.,,,,China,Retailer:,"FENUN, Inc., dba Kmaier, of Pasadena, California"
26-720,,27-Aug-26,,AudioLineOut Recalls Studio Six Headphone Amplifiers Due to Risk of Serious Injury or Death from Electrocution Hazard,Studio Six Headphone Amplifiers,"This recall involves Studio Six Headphone Amplifiers with model ST6. The amplifiers are black or silver. The amplifiers measure 15-3/4 inches high by 12 inches wide. The height for the lower level of the unit, top to bottom, is 5-3/4 inches; the height from the top of the upper level to bottom of the unit is 20-3/4 inches. In the front of the unit, there are four audio connectors for headphones. In the back, there are three sets (L and R) of RCA inputs. Also in the back is a connector for an auxiliary power device.","When the amplifiers are used with aftermarket metal base tubes, the bare metal can become electrified, posing a risk of serious injury or death from electrocution.",,,Repair,About 90,None reported,"Consumers should stop using the recalled amplifiers immediately and contact AudioLineOut for a free repair. Consumers should contact AudioLineOut at support@aloaudio.com for a prepaid shipping label to ship back the product for repair. Alternatively, consumers can utilize the originally supplied vacuum tubes.",Sold At,"Independent stereo stores nationwide and online at aloaudio.com from December 2014 through December 2022 for about $3,900.",,,"AudioLineOut LLC, of Portland, Oregon",United States,,
26-719,,27-Aug-26,,HABA USA Recalls Rainbow Rattle Grasping and Teething Toys Due to Risk of Serious Injury or Death from Choking and Ingestion Hazards,HABA Rainbow Rattle Grasping and Teething Toy,"This recall involves HABA Rainbow Rattle Grasping and Teething Toy item number 2012261001 and batch code 0925. The rattle grasping and teething toy features plastic rattling rings that produce sound when moved. Constructed from wood with multiple materials and colorful components, designed for infant grasping, sensory exploration and early play. Each HABA Rainbow Rattle Grasping and Teething Toy can be identified by the product batch code in black on one of the natural wooden hemisphere pieces and the item number found on the back side of the backer card above the barcode.","The glued knot on the elastic cord can become untied on the recalled product, allowing young children access to the small wooden and plastic pieces, posing a risk of serious injury or death from choking and ingestion hazards.",,,Refund,"About 2,000",The firm has received two reports of the knots on the elastic cord becoming untied. No injuries have been reported. ,"Consumers should stop using the rattle grasping and teething toy immediately, take it away from children and contact HABA USA to receive a full refund. Consumers will be asked to destroy the toy by cutting the elastic cord, taking a photo of it and uploading a photo of the destroyed toy with their name and address to recall@habausa.com. Consumers should then dispose of the destroyed product.&nbsp;",Sold At,"Specialty stores nationwide and online at Amazon.com, Target.com, Bellalunatoys.com, Habausa.com and Nordstrom.com from December 2025 through July 2026 for about $13.","Habermaass Corporation, Inc. dba HABA USA, of Skaneateles, New York ",,,China,,
26-718,,27-Aug-26,,Diamond Wipes International Recalls MD Wipe Outz Numbing Tattoo Wipes Due to Risk of Serious Injury or Death from Child Poisoning; Violate Mandatory Standard for Child-Resistant Packaging,MD Wipe Outz Numbing Tattoo Wipes,"This recall involves MD Wipe Outz Numbing Tattoo Wipes. The pain-relieving wipes were sold in individually wrapped 3 x 4 inches foil packets in boxes of 5, 10, 25, and 250. The Wipe Outz logo, “NUMB” and “Lidocaine Infused” is printed on the front of the packet.","The recalled numbing wipes contain lidocaine, which must be in child-resistant packaging, as required by the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">Poison Prevention Packaging Act. The packaging of the wipes is not child-resistant, posing a risk of serious injury or death from poisoning if the contents of the wipes are ingested by young children.",,,Refund,"About 55,250",None reported,Consumers should secure the wipes out of sight and reach of children immediately and contact Diamond Wipes for a full refund. Consumers will be asked to write “RECALLED” on the packet and send a photo of the marked packet to recall@diamondwipes.com. Consumers should then dispose of the packets.,Sold Online At,Amazon.com from September 2025 through June 2026 and Shopify.com from September 2025 through May 2026 for between about $7.50 for a 5-pack and $225 for a 250-pack.,,"Diamond Wipes International, Inc., of Chino, California",,United States,Retailer:,"MD Wipe Outz, of Thousand Oaks, California"
